sku;titulo;image;media_gallery;small_image;thumbnail;status
CMBLG00002;Iron Killers Virus;+fotos_site_com_marca/052497.jpg;fotos_site_com_marca/052497.jpg;fotos_site_com_marca/small/052497.jpg;fotos_site_com_marca/thumb/052497.jpg;1
CMBLG00001;Iron Number;+fotos_site_com_marca/052495.jpg;fotos_site_com_marca/052495.jpg;fotos_site_com_marca/small/052495.jpg;fotos_site_com_marca/thumb/052495.jpg;1
G_BL_IRON_TROOPER_A_PE;Iron Trooper A Pe;;;;;2
CMBLG00065;Iron Trooper Cavalo;+fotos_site_com_marca/053240.jpg;fotos_site_com_marca/053240.jpg;fotos_site_com_marca/small/053240.jpg;fotos_site_com_marca/thumb/053240.jpg;1
G_BL_JACK_DANIELS;Jack Daniels;+fotos_site_com_marca/053036.jpg;"fotos_site_com_marca/053036.jpg;fotos_site_com_marca/053036_C.jpg";fotos_site_com_marca/small/053036.jpg;fotos_site_com_marca/thumb/053036.jpg;1
CMBLG00039;Joy Division;+fotos_site_com_marca/053140.jpg;fotos_site_com_marca/053140.jpg;fotos_site_com_marca/small/053140.jpg;fotos_site_com_marca/thumb/053140.jpg;1
CMBLG00059;Judas Steel;+fotos_site_com_marca/053228.jpg;fotos_site_com_marca/053228.jpg;fotos_site_com_marca/small/053228.jpg;fotos_site_com_marca/thumb/053228.jpg;1
CMBLG00049;Kiss Rock And Roll;+fotos_site_com_marca/053208.jpg;fotos_site_com_marca/053208.jpg;fotos_site_com_marca/small/053208.jpg;fotos_site_com_marca/thumb/053208.jpg;1
G_BL_LARANJA_MECANICA;Laranja Mecanica;+fotos_site_com_marca/053020.jpg;fotos_site_com_marca/053020.jpg;fotos_site_com_marca/small/053020.jpg;fotos_site_com_marca/thumb/053020.jpg;1
CMBLG00048;Led Zeppelin Anjo Colorido;+fotos_site_com_marca/053206.jpg;fotos_site_com_marca/053206.jpg;fotos_site_com_marca/small/053206.jpg;fotos_site_com_marca/thumb/053206.jpg;1
CMBLG00027;Led Zeppelin Anjo Dourado;+fotos_site_com_marca/053110.jpg;fotos_site_com_marca/053110.jpg;fotos_site_com_marca/small/053110.jpg;fotos_site_com_marca/thumb/053110.jpg;1
CMBLG00025;Led Zeppelin Eremita;+fotos_site_com_marca/053106.jpg;fotos_site_com_marca/053106.jpg;fotos_site_com_marca/small/053106.jpg;fotos_site_com_marca/thumb/053106.jpg;1
CMBLG00026;Led Zeppelin Mothership Branca;+fotos_site_com_marca/053108.jpg;fotos_site_com_marca/053108.jpg;fotos_site_com_marca/small/053108.jpg;fotos_site_com_marca/thumb/053108.jpg;1
CMBLG00029;Legiao Urbana Logo Dourada;+fotos_site_com_marca/053114.jpg;fotos_site_com_marca/053114.jpg;fotos_site_com_marca/small/053114.jpg;fotos_site_com_marca/thumb/053114.jpg;1
CMBLG00041;Linkin Park Meteora;+fotos_site_com_marca/053185.jpg;fotos_site_com_marca/053185.jpg;fotos_site_com_marca/small/053185.jpg;fotos_site_com_marca/thumb/053185.jpg;1
CMBLG00031;Linkin Park Road Escrito Branco;+fotos_site_com_marca/053120.jpg;fotos_site_com_marca/053120.jpg;fotos_site_com_marca/small/053120.jpg;fotos_site_com_marca/thumb/053120.jpg;1
CMBLG00054;Megadeth Bomba;+fotos_site_com_marca/053218.jpg;fotos_site_com_marca/053218.jpg;fotos_site_com_marca/small/053218.jpg;fotos_site_com_marca/thumb/053218.jpg;1
CMBLG00072;Megadeth Rust;+fotos_site_com_marca/053254.jpg;fotos_site_com_marca/053254.jpg;fotos_site_com_marca/small/053254.jpg;fotos_site_com_marca/thumb/053254.jpg;1
CMBLG00008;Metallica Justice;+fotos_site_com_marca/052511.jpg;fotos_site_com_marca/052511.jpg;fotos_site_com_marca/small/052511.jpg;fotos_site_com_marca/thumb/052511.jpg;1
CMBLG00051;Metallica Kill;+fotos_site_com_marca/053212.jpg;fotos_site_com_marca/053212.jpg;fotos_site_com_marca/small/053212.jpg;fotos_site_com_marca/thumb/053212.jpg;1
CMBLG00076;Metallica Magnetic Branca;+fotos_site_com_marca/053526.jpg;fotos_site_com_marca/053526.jpg;fotos_site_com_marca/small/053526.jpg;fotos_site_com_marca/thumb/053526.jpg;1
CMBLG00058;Metallica Master Album;;;;;2
CMBLG00045;Metallica Ride;;;;;2
CMBLG00053;Metallica St Anger Punho;+fotos_site_com_marca/053216.jpg;fotos_site_com_marca/053216.jpg;fotos_site_com_marca/small/053216.jpg;fotos_site_com_marca/thumb/053216.jpg;1
CMBLG00028;Motorhead Tradicional;;;;;2
CMBLG00070;Nirvana Nevermind;;;;;2
G_BL_NIRVANA_SMILE;Nirvana Smile;+fotos_site_com_marca/053012.jpg;fotos_site_com_marca/053012.jpg;fotos_site_com_marca/small/053012.jpg;fotos_site_com_marca/thumb/053012.jpg;1
CMBLG00040;Pantera Dourada Official;+fotos_site_com_marca/053183.jpg;fotos_site_com_marca/053183.jpg;fotos_site_com_marca/small/053183.jpg;fotos_site_com_marca/thumb/053183.jpg;1
G_BL_PASSARO_VERMELHO;Passaro Vermelho;+fotos_site_com_marca/053048.jpg;fotos_site_com_marca/053048.jpg;fotos_site_com_marca/small/053048.jpg;fotos_site_com_marca/thumb/053048.jpg;1
CMBLG00032;Pearl Jam Bonequinho;+fotos_site_com_marca/053122.jpg;fotos_site_com_marca/053122.jpg;fotos_site_com_marca/small/053122.jpg;fotos_site_com_marca/thumb/053122.jpg;1
CMBLG00069;Pink Floyd Wall Preta;+fotos_site_com_marca/053248.jpg;fotos_site_com_marca/053248.jpg;fotos_site_com_marca/small/053248.jpg;fotos_site_com_marca/thumb/053248.jpg;1
CMBLG00074;Piratas Do Caribe;+fotos_site_com_marca/053258.jpg;fotos_site_com_marca/053258.jpg;fotos_site_com_marca/small/053258.jpg;fotos_site_com_marca/thumb/053258.jpg;1
CMBLG00024;Queen Dourada;+fotos_site_com_marca/053104.jpg;fotos_site_com_marca/053104.jpg;fotos_site_com_marca/small/053104.jpg;fotos_site_com_marca/thumb/053104.jpg;1
CMBLG00003;Ramones Banda Branca;+fotos_site_com_marca/052501.jpg;fotos_site_com_marca/052501.jpg;fotos_site_com_marca/small/052501.jpg;fotos_site_com_marca/thumb/052501.jpg;1
G_BL_RAMONES_TRADICIONAL_PRETA;Ramones Tradicional Preta;+fotos_site_com_marca/053032.jpg;fotos_site_com_marca/053032.jpg;fotos_site_com_marca/small/053032.jpg;fotos_site_com_marca/thumb/053032.jpg;1
